Physical Record ID,BL record ID,ARK
003989709,014824920,ark:/81055/vdc_00000004CF08
003316970,014823999,ark:/81055/vdc_00000002D0FC
003317067,014824001,ark:/81055/vdc_00000003875A
003989315,014832630,ark:/81055/vdc_000000052FC2
003316936,014912650,ark:/81055/vdc_00000001EE6A
003316933,014829096,ark:/81055/vdc_00000002B626
003316953,014823998,ark:/81055/vdc_00000002D468
003316038,015111253,ark:/81055/vdc_0000000240A8
003278114,014829004,ark:/81055/vdc_000000041A06
003989078,014885796,ark:/81055/vdc_0000000178B0
003140018,014828504,ark:/81055/vdc_000000055686
003989008,014824914,ark:/81055/vdc_00000005127C
003094676,014828253,ark:/81055/vdc_00000005D336
002917481,014827406,ark:/81055/vdc_00000005E1F4
002724586,014872520,ark:/81055/vdc_000000014AF6
002724585,014860850,ark:/81055/vdc_000000009546
003988986,014617198,ark:/81055/vdc_000000030D44
003988983,014832624,ark:/81055/vdc_00000004D6BE
003988984,014824912,ark:/81055/vdc_00000004AE86
003988977,014832623,ark:/81055/vdc_0000000452EE
002709091,014826690,ark:/81055/vdc_000000042426
003988489,014832617,ark:/81055/vdc_00000002E7D0
003988465,014832615,ark:/81055/vdc_000000011574
003988464,014873179,ark:/81055/vdc_000000011568
003988446,014832614,ark:/81055/vdc_00000002C8E6
003988484,014832616,ark:/81055/vdc_00000002E7C4
003988508,015106340,ark:/81055/vdc_0000000224A6
003988500,014832621,ark:/81055/vdc_00000002E638
003988499,014832620,ark:/81055/vdc_00000002A726
003988497,014832619,ark:/81055/vdc_00000002E7CA
003988493,014832618,ark:/81055/vdc_00000002E632
003988290,014832613,ark:/81055/vdc_00000002983E
003988191,014832612,ark:/81055/vdc_00000005A786
003988097,014832611,ark:/81055/vdc_00000003013E
003988008,014832610,ark:/81055/vdc_000000029FFA
003987918,014848298,ark:/81055/vdc_00000000750C
003987931,014867952,ark:/81055/vdc_00000000EFBE
003987937,014885795,ark:/81055/vdc_00000001874A
003987910,014880489,ark:/81055/vdc_000000015C0C
003987859,014862511,ark:/81055/vdc_00000000D6F2
003987858,014867951,ark:/81055/vdc_00000000F222
003987841,014912754,ark:/81055/vdc_00000001F5FC
003987611,014867949,ark:/81055/vdc_00000000FB82
003987367,014867947,ark:/81055/vdc_00000000E850
003987208,014891841,ark:/81055/vdc_00000001A40C
003987061,014912753,ark:/81055/vdc_00000001FC50
003987050,014912752,ark:/81055/vdc_00000001F5D2
003987060,015106339,ark:/81055/vdc_00000002306A
003986998,014897239,ark:/81055/vdc_00000001CB78
003986081,014905543,ark:/81055/vdc_00000001E9DE
002690995,014826574,ark:/81055/vdc_00000003DAEE
003985645,014919488,ark:/81055/vdc_000000020874
003985646,014940070,ark:/81055/vdc_000000020AD8
003985593,014861164,ark:/81055/vdc_00000000943E
002660920,014826406,ark:/81055/vdc_00000003378C
003985204,014885794,ark:/81055/vdc_00000001780E
002214816,014817348,ark:/81055/vdc_00000005447A
002175106,014817175,ark:/81055/vdc_0000000338EE
002175107,014817176,ark:/81055/vdc_000000044B74
002109598,014815681,ark:/81055/vdc_000000040650
002089065,014815575,ark:/81055/vdc_000000051CCC
002089066,014815576,ark:/81055/vdc_000000051FCC
001845839,014814378,ark:/81055/vdc_000000044B50
001845838,014814377,ark:/81055/vdc_000000033CF0
001821458,014814266,ark:/81055/vdc_00000004240E
001801457,014616816,ark:/81055/vdc_00000002FB74
001800776,014814190,ark:/81055/vdc_000000040620
001765388,014813972,ark:/81055/vdc_0000000332B8
001728629,014813651,ark:/81055/vdc_00000003C7E0
001701197,014813471,ark:/81055/vdc_00000004037A
001649460,015111178,ark:/81055/vdc_000000024066
001595331,014812748,ark:/81055/vdc_000000044B08
001482944,014939533,ark:/81055/vdc_000000021F18
001348582,014811348,ark:/81055/vdc_00000005523C
001277071,014811079,ark:/81055/vdc_0000000417F6
001042380,014809820,ark:/81055/vdc_000000043014
001042324,014809801,ark:/81055/vdc_0000000401DC
003984691,015173223,ark:/81055/vdc_000000024ED6
000986192,014809451,ark:/81055/vdc_000000041802
000976230,014809375,ark:/81055/vdc_000000049800
000972523,014809335,ark:/81055/vdc_00000003DAE2
000725848,014807466,ark:/81055/vdc_000000041F52
000725839,014807463,ark:/81055/vdc_000000033A6E
000725841,014807464,ark:/81055/vdc_00000002FBA4
000613984,014806928,ark:/81055/vdc_000000059856
000540701,014839528,ark:/81055/vdc_0000000050A6
000510681,014806207,ark:/81055/vdc_00000004231E
000500565,014806195,ark:/81055/vdc_00000005A198
000497298,014806147,ark:/81055/vdc_000000036696
000489982,015178030,ark:/81055/vdc_000000026706
000215675,014804760,ark:/81055/vdc_000000056874
000135603,014804286,ark:/81055/vdc_00000003FD0E
003696854,014841470,ark:/81055/vdc_000000005082
001038178,014767662,ark:/81055/vdc_000000058CF8
003983058,014832595,ark:/81055/vdc_0000000545E8
001682145,014813302,ark:/81055/vdc_000000042FBA
